Location,Site_Name,Latitude,Longitude,Solar_GW,Wind_GW,Battery_GWh,System_Capacity_Factor,LCOE_USD_per_MWh,Annual_Load_MWh,Energy_Served_MWh,Unmet_Load_MWh,Overproduction_MWh
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,1.00,0.00,1.00,0.0002,38427.32,8760000.00,1927.86,8758072.14,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,1.00,0.00,2.00,0.0003,30845.73,8760000.00,2402.20,8757597.80,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,1.00,0.00,3.00,0.0003,25764.54,8760000.00,2876.54,8757123.46,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,1.00,0.00,4.00,0.0004,22121.84,8760000.00,3350.89,8756649.11,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,1.00,0.00,5.00,0.0004,19382.62,8760000.00,3825.23,8756174.77,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,1.00,0.00,6.00,0.0005,17247.79,8760000.00,4299.57,8755700.43,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,1.00,0.00,7.00,0.0005,15537.20,8760000.00,4773.91,8755226.09,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,1.00,0.00,8.00,0.0006,14135.82,8760000.00,5248.25,8754751.75,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,1.00,0.00,9.00,0.0007,12966.76,8760000.00,5722.59,8754277.41,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,1.00,0.00,10.00,0.0007,11976.65,8760000.00,6196.94,8753803.06,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,1.00,0.00,11.00,0.0008,11127.35,8760000.00,6671.28,8753328.72,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,1.00,0.00,12.00,0.0008,10390.82,8760000.00,7145.62,8752854.38,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,1.00,0.00,13.00,0.0009,9745.98,8760000.00,7619.96,8752380.04,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,1.00,0.00,14.00,0.0009,9176.71,8760000.00,8094.30,8751905.70,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,1.00,0.00,15.00,0.0010,8670.48,8760000.00,8568.64,8751431.36,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,2.00,0.00,1.00,0.0004,43813.43,8760000.00,3381.38,8756618.62,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,2.00,0.00,2.00,0.0004,38427.32,8760000.00,3855.72,8756144.28,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,2.00,0.00,3.00,0.0005,34221.26,8760000.00,4330.06,8755669.94,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,2.00,0.00,4.00,0.0005,30845.66,8760000.00,4804.41,8755195.59,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,2.00,0.00,5.00,0.0006,28076.79,8760000.00,5278.75,8754721.25,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,2.00,0.00,6.00,0.0007,25764.49,8760000.00,5753.09,8754246.91,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,2.00,0.00,7.00,0.0007,23804.45,8760000.00,6227.43,8753772.57,0.00
